clue,answer,ans_length
"Cut wood, framing picture in deal successfully",COPPICE,7
Most fine chicks could be at risk in this?,THINNEST,8
"Chap, though elderly, plays regularly in several ways",MANIFOLDLY,10
Inject copper into deformed toenail,INOCULATE,9
"Annoying train, it runs irregularly",IRRITANT,8
Company scheme limits one crew member,COPILOT,7
What a jerk’s doing never rising before monarch?,YANKING,7
One not allowing large headline,BANNER,6
Small bag for art,SKILL,5
Old were furious when right’s lost,AGED,4
The French dine from feeding trough,MANGER,6
Moving slowly or like a shot?,SLUGGISH,8
See and repair device,LOGO,4
Rock walls enable repression,SWALLOWING,10
Abandoned airports left one by one?,SELF-PORTRAIT,13
Miss a festival’s main attraction,MAY QUEEN,"3,5"
Husband loves healthy walk,HOOF IT,"4,2"
Dean carelessly includes Virginia as a US state,NEVADA,6
Stay young on very good wine,PINOTAGE,8
Bad American art turned into rough sketch?,ILLUSTRATION,12
"Ready for more artillery, surround country",RARING TO GO,"6,2,2"
Timmy Thompson’s secret fantasy,MYTH,4
Boss promises to reimburse academic,STUDIOUS,8
Collided with small vehicle,STRUCK,6
Report of one throwing in part of game?,CHUKKA,6
"Donkey joins minister in church, provoking big split",CREVASSE,8
Like part of viewer’s money invested in Madrid team,RETINAL,7
Increased payment announced for fertiliser,NITRATE,7
Voice disapproval of Republican oik,BOOR,4
Militant greenie backing French king after dreadful race row,ECO-WARRIOR,11
Protective coat a Parisian youth put back round tongue?,UNDERSEAL,9
Distinguished Muslim reversed interdiction binding Washington,NAWAB,5
Hospital thanks bringer of gifts,SANTA,5
Staying power of English knight Mussolini managed to get imprisoned,ENDURANCE,9
Like Quisling’s characteristics taking in men in Britain or in France,TRAITOROUS,10
Unspecified doctrines revealed in one’s writing,ISMS,4
Diamond thief initially stole entering Arctic vessel,ICEBOAT,7
One with pride in French art inspired by celebrities,LIONESS,7
Aim to give up action on pitch,GOAL KICK,"4,4"
Aristocracy’s grand record,GENTRY,6
Native American’s article read in bed,CARIB,5
Description of virgin territory don turned out,UNTRODDEN,9
English architect and landscape gardener known in Scotland,KENT,4
Replacement of kidney we set up internally,RENEWAL,7
"Like some surgeons in navy, retire unhappily",VETERINARY,10
How to address Hindu dignitary in the morning in Westminster?,SWAMI,5
Abhorrent former City mob dismissing head of bank,EXECRABLE,9
Hat that’s extremely comfortable crossing northern lake,CLOCHE,6
"Fortification originally recognised in magnum opus, do we hear?",BREASTWORK,10
"Disturbing, being out of bed doing my job?",UPSETTING,9
"Detective shed tears after a lot of drink, having dishevelled look",WINDSWEPT,9
Capricious fellow concealing deserter,ERRATIC,7
Hand-out covering upper-class bachelor’s drink,DOUBLE,6
Live on cape overlooking a palm-tree,ARECA,5
"Cheeky American, for example, grabbing seconds",SASSY,5
"Part in this way, missing ex at first",SOME,4
Threat suggested by one forever taking tea,MAD HATTER,"3,6"
Fun in summer from people in lawsuits being on weed?,GARDEN PARTIES,"6,7"
Poor mark in school given by master,GAMMA,5
Arab friend — European gets one for nothing,PALESTINIAN,11
"Hot and cold, turning unwell, with this?",CHILL,5
"Singing happily in America, Scotsman from another era",CAROLINGIAN,11
"On power trips, quietly press for expulsion of MPs",PRIDES PURGE,"6,5"
Pull vehicle back in a series of races,ATTRACT,7
Irritated expression as pet vanished,DOGGONE,7
"It offers hope to the sick and old, sure to be treated",LOURDES,7
What could create current possible disagreement?,POTENTIAL DIFFERENCE,"9,10"
Back an attempt,AGO,3
"In operetta, what’s put before jury? Not a hat",TRILBY,6
"Terror as dresser goes tipping over, bits smashing off",OGRESS,6
"Steps taken as father’s old, getting billions in benefit",PASO DOBLE,"4,5"
Agreeable article for men in tribute,COMPLIANT,9
"Closely follow play, having to put in notice",SHADOW,6
"Walking a very short distance, short of energy",ON FOOT,"2,4"
Scotland’s own Foreign Department,AIN,3
Done with requirement for Poohsticks,WATER UNDER THE BRIDGE,"5,5,3,6"
"Batting with more confidence, one offers chance to cover",INSURER,7
"Female, commonly odious and critical",FATEFUL,7
Ridiculous in a suit in the country,TUNISIA,7
"A proportion of customers sat here, troubled by notice",MARKET SHARE,"6,5"
Short provision of beer by bar in America,HALF MEASURE,"4,7"
Trim short leggings,TIGHT,5
"Praise silent type, advancing initially into battle",ACCLAMATION,11
Make altogether disgusting,GROSS,5
"Part of fighter’s gear to lug, before run across high ground",CARTRIDGE BELT,"9,4"
"Fielder, inadequate, returning trophies",SHORTSTOP,9
"Chitty-Chitty Bang-Bang, say, favourite fairytale transport",MAGIC CARPET,"5,6"
"In getting up fast, I remedy fault",DEMERIT,7
Sort of lamp I plugged in picked up as benefit,AVAIL,5
Prepare vegetables and quickly see to baby,TOP AND TAIL,"3,3,4"
Met together for cause: Republican joined,RALLIED,7
Smooth style of progress through various gears? Nonsense,GAS AND GAITERS,"3,3,7"
"Before test, drops coat",RAINPROOF,9
Construction of poem featuring in Eliot’s first gamble,EDIFICE,7
Greek visionary’s plans then lie in ruins,PANHELLENIST,12
Get back from city in sheer delight,RECAPTURE,9
"Ditch, I hear, with predictable exceptions gets more slippery",ICIER,5
Runner’s up prizes on high quality race track,SILVERSTONE,11
A loveless return for country girl,ANNABEL,7
Trace family: Nick may do it,DRAW BLOOD,"4,5"
Traditional accompaniments that are cut off,TRIMMINGS,9
Boat that leads the way for others?,LIGHTER,7
Knock over wine for communion,RAPPORT,7
The latest worry for museum conservator?,STATE OF THE ART,"5,2,3,3"
Useless worker endlessly about to finish cell extension,DENDRON,7
"Antelope eats daisies, including one in remote place",EASTER ISLAND,"6,6"
"Winning daily is guaranteed, but not car",CHARISMATIC,11
You’re caught; could this describe Quidditch?,THE GAME IS UP,"3,4,2,2"
Discovered painting in prison: sentence not wasted!,PENTIMENTO,10
We worked with rectors in one cathedral ...,WORCESTER,9
"in another, saw end of prayer cut short with entry of queen",NOTRE DAME,"5,4"
"In charge, one party of Africans ringed girl",FIANCEE,7
Hardy tucks into extremely luscious sweets,LOLLIES,7
Excluded workers rising in turn to get drinks,SHUT OUT,"4,3"
Man I have heard on the radio,ROGER,5
Horrible feeling commonly looms over time,ANGST,5
Crustacean in pub clean when cooked,BARNACLE,8
Reasonable travel cost announced,FAIR,4
British crowd returned device for detonation,BOMB,4
"Obsession, not initially serious, developed",NEUROSIS,8
Arthurian knight taking his weapon back to lake,LANCELOT,8
Hoofed mammal in Kansas occasionally,ASS,3
Manic Monday for energetic person,DYNAMO,6
Prophet in South Africa fried pastry,SAMOSA,6
Mischievous goddess had some food,ATE,3
Instruct class producing toy,TRAIN SET,"5,3"
Lug instrument and books round room,OTOSCOPE,8
Cash card number son secures,PINS,4
Man will encounter wicked souls here,HELL,4
Rescue dog losing tail,RETRIEVE,8
Robert has been ahead in Olympic event,BOBSLED,7
Cow perhaps having drink at home with insect,RUMINANT,8
This won't turn in the lock,CANAL BOAT,"5,4"
Grounded winger involved in three murders,EMU,3
Force to slam explosively causing wreckage,FLOTSAM,7
"Here in France, head shows hostile attitude",ICINESS,7
Will roused mates in canvas shelter,TESTAMENT,9
Fish holding short stick in biannual event,SOLSTICE,8
Get any in arrangement with Zulu banker?,YANGTZE,7
Mister Solo shot after a little hesitation?,AEROSOL,7
Entertainer is treat when sozzled,ARTISTE,7
Blade beheaded wild pig,OAR,3
Do well to dispense with a certain condiment,CUT THE MUSTARD,"3,3,7"
"Not happy, getting stick for eucalyptus",BLUEGUM,7
College window,ORIEL,5
"Without direct involvement, but less than a metre away?",AT ARMS LENGTH,"2,4,6"
"Threat from people, one in a suit",MENACE,6
Awful critic is sort of acid,CITRIC,6
"Quiet exercise at river, say, being something of a fish",SOFT ROE,"4,3"
Compound kept by some Westerners,ESTER,5
Instrument played by old Marx,HARPO,5
Trade vehicles,TRAFFIC,7
Lean over a short distance in tournament centre,TILTYARD,8
"Desperate man, eastern European",DANE,4
"Different people – not her sort, not all of them",OTHERS,6
"Calm little place, attended by a group of detectives",PLACID,6
Proverbial drinker outside pub is European,FINNISH,7
Criticise one Conservative creating alarm,PANIC,5
Female bird always returning full of energy,REEVE,5
Northern city quickly attracting any number,PRESTON,7
Chum is dancing in front of everyone in entertainment venue,MUSIC HALL,"5,4"
"Small crown, gold one seen in court",CORONET,7
We hear horses eat in field,GRAZE,5
Like female not looking very well,ASHEN,5
Stopping almost all night after travel,HALTING,7
Tries to present pieces for university tutor?,ESSAYS,6
Candlestick boy carried around cold Anglican church,SCONCE,6
City offering what’s collected in box for down-and-outs,OXFORD,6
Protests on the go when food is not available,HUNGER MARCHES,"6,7"
"One book is missing from new libraries, they protest",RAILERS,7
"Fall in part of race, starts to seem exhausted",LAPSE,5
Groups of stars interfered with colonial’s tent,CONSTELLATION,13
Proper journey down mountain maybe without first sign of snow,DECENT,6
Hard work is followed by whisky and a game,HOPSCOTCH,9
‘Innocent’ Alice being false – no good inside,ANGELIC,7
Grate fragment ending in fire,SCRAPE,6
"My, my!  It’s a horse",GEE,3
Girl in New York who looks after children?,NANNY,5
Suggest work in writing,PROPOSE,7
Chop end off dining chair,CARVE,5
"Potentially characters in Animal Farm, an unlikely sort of story",COCK AND BULL,"4,3,4"
Weapons found in farmstead,ARMS,4
Fruit Ray and Bert cultivated across years,TAYBERRY,8
Brave reorganisation of Hire Co,HEROIC,6
"For example, one / sort of anaesthetic",NUMBER,6
"Good-looking worker, so attached to me",HANDSOME,8
Little pig and the noise it makes if head's cut?,RUNT,4
Mild-mannered in attack,INOFFENSIVE,11
Be left with large and ultimately unlovely stomach,BELLY,5
Quieter part of distillery,STILLER,7
Athlete runs behind lots of people,RACER,5
Miniature picture — A Sailing Vessel — by old Spanish artist,PICASSO,7
Type of music some kids adore at the outset,SKA,3
Severe reduction in A & E,ACUTE,5
I reveal foreign girl's name,VALERIE,7
Respected lady agreed to stash foreign money,DOYENNE,7
Hire purchase no longer available for carpet,TICK OFF,"4,3"
Test area in former excavation site,EXAMINE,7
"Warlike officer, we hear",MARTIAL,7
Nobleman upset Liberal? That's funny,DROLL,5
Terribly nice English family member,NIECE,5
Fool turned up in tank top,NIT,3
Organiser of party — lots of people,HOST,4
Take me abroad to capture river mammal,MEERKAT,7
Make circular motion with part of foot,WHEEL,5
Translation of Hardy located around one Arab city,RIYADH,6
"Reveal girth, bolting frenziedly",BRING TO LIGHT,"5,2,5"
Join a Parisian welcoming computers etc.,UNITE,5
Insect lands doggedly after turbulence,DADDY-LONG-LEGS,15
Beethoven symphony in historic exam?,PASTORAL,8
Company is importing meat — antelope,CHAMOIS,7
Daughter torn about island allowing vehicular access,DRIVE-IN,8
Doctor holding delicate fabric up still,BECALM,6
Movable chair some used anywhere,SEDAN,5
Applaud actor who overdoes it in South London area,CLAPHAM,7
"Travel about, moving over",ROVE,4
Remnant of fire found at the end of three months,EMBER,5
"Listless, glad Uni is out",LANGUID,7
The man that can be heard in church song,HIM,3
Having written a will protecting husband and son in America,THE STATES,"3,6"
"Change designation of item, an error partly reversed",RENAME,6
"Piano music's silence, with nothing played fast",PRESTO,6
Frightfully damp reaction?,COLD SWEAT,"4,5"
Odd pieces removed from very new organ,EYE,3
"Edges of travelator, enough to walk on",TRAMPLE,7
Proudly claim vessel carries spades,BOAST,5
"Work with teeth, clubs and axe",CHEW,4
A study developed around English calendar item,TUESDAY,7
"Maybe Tom from Warrington, one with a lingering happy expression",CHESHIRE CAT,"8,3"
"White LP, almost complete",ALBUMEN,7
Firm multiplied by showing work of Dickens,HARD TIMES,"4,5"
Ponder extraterrestrial form of sea life,MULLET,6
Prune without its skin makes you go fast!,RUN,3
Safe place to jump,VAULT,5
"Part of meal being cooked perhaps with unusual style, not in the true way?",DISHONESTLY,11
Part of deck on which 45 may go for a spin,TURNTABLE,9
Attendant almost to tread on person in care,STEWARD,7
To change sides is a fault,DEFECT,6
Seal swimming at end of beach shows restraint for an animal,LEASH,5
Clumsily handle father and wife,PAW,3
"Bracketed father, say, with man having time in charge",PARENTHETIC,11
Go in with five by two strengthening strip,BATTEN,6
Port city with area for university student residence,HALL,4
Note aunt’s unfortunate disease,TETANUS,7
Quash right boxing ace in a ring,ANNULAR,7
Certainly bachelor interrupts ruse for ladies’ man,PLAYBOY,7
"Famous maestro, not English, getting cue wrong after Lohengrin’s wife is dressing",BECHAMEL SAUCE,"8,5"
City with terrible secret about gold,WORCESTER,9
"One living abroad has European vote, very conveniently",EXPAT,5
Heavy work I have outside printing house,OPPRESSIVE,10
Charge involving one Zulu witch doctor?,WIZARD,6
Confused pie chart and inscription,EPIGRAPH,8
What may result in prince’s military manoeuvre,PINCER MOVEMENT,"6,8"
Large cactus so full of water of Mexican river,SAGUARO,7
Anaesthetic unit is the best,NUMBER ONE,"6,3"
Royal Society’s in misery with lower standards,WORSE,5
Speak at length with old judge,ORATE,5
"Queen trapped by duty? Right, this may give her strength",EXERCISER,9
Golf provides for a place to swing,GALLOWS,7
Key mineral fat for pastry producing artistic effect,FORESHORTENING,14
Established working name for language,ESTONIAN,8
"Familiarly, wheels stick and make a harsh noise",JAMJAR,6
Absolute commander-in-chief chasing car holding traitor,AUTOCRATIC,10
"Fine inventions, jets?",FLIES,5
Like flowers when meeting to study illness with hospital department,CONFLUENT,9
See beer in guilty sense without one getting better,CONVALESCENCE,13
Doctor exposed about operation as one who failed to qualify,DROPOUT,7
Seller of pills made from tips of acacia blossom on tree,BEECHAM,7
Took on suitable editor without visit to see,ADOPTED,7
Smart suppressing singular desire,WISH,4
Failing to cross over desert,DEFECT,6
Web crawler that predicts where the wealth is going?,MONEY SPIDER,"5,6"
Pill introduced by east European is fit to drink down,POTABLE,7
Informer about in Epping restraining local authority,RATE,4
Girl trapping judge’s assassin,NINJA,5
What’s inverted horny porno tester suffering?,HYSTERON PROTERON,"8,8"
Managed a month in teetotal wing of church,TRANSEPT,8
Mum’s core sin unfortunately is a love of shopping,CONSUMERISM,11
Bulk large on the outside?,BULGE,5
Jettison bedcover on top of antique table,THROW OVERBOARD,"5,9"
Sandwich spread?,EXPORT,6
Market exploiter using a rand drop to bait Europe,ARBITRAGEUR,11
Stratified lake certainly a warning of something dangerous,LAYERED,7
"British petroleum jelly, not very standard for comparison",BASELINE,8
Convert home to church in stretch of land for row of houses,TERRACE,7
Certain about Chile’s capital being somewhere in the Andes,SUCRE,5
Strange being on underground with a railway minister,FOREIGN SECRETARY,"7,9"
Moderate teases toffs endlessly,EASE OFF,"4,3"
No tears about disloyalty,TREASON,7
Includes bitter brewed to be very strong,INDESTRUCTIBLE,14
"Rich, fit and not working",WELL,4
A blush digesting record of debt leaving son to the very end bitter,ACRIMONIOUS,11
Section of poem to preserve — Tasso’s no fool,CANTO,5
HM's in a grand construction -- here?,SANDRINGHAM,11
"Dogmatic idea, no point shifting",OPINIONATED,11
Delay one riding horse,STALLION,8
Sham opponent’s name a million nasty people sent up,STRAW MAN,"5,3"
"Bird’s to raise hatch, reportedly",JACKDAW,7
Mailer accepting Pound is rather fine,SLENDER,7
Get annoyed with what might appear on waste land,NETTLE,6
Socialists pursuing Conservative split,CLEFT,5
Mike’s stuffing piece of meat to munch with gusto,CHOMP,5
Stock colours,STANDARD,8
Warm and moist — like some marine life?,CLAMMY,6
Evergreen power to fascinate,PRIVET,6
Hydrogen expands in large flexible pipe,NARGHILE,8
Thriving source of water,WELL,4
Deep thought: odd state to beset one,RUMINATION,10
"Shrub, one beyond blight — job to contain it?",TAMARISK,8
"Peer in organ loft, but not very many times",EARL,4
"Monkey lives around borders of Kenya, to the west",SAKI,4
Syrup — huge number of lemmings initially stuck in it,MOLASSES,8
Poet who's evidently been on the rack?,LONGFELLOW,10
"In conversation, bound to be engrossed",RAPT,4
"Torch, a virtually full beam lit up",FLAMBEAU,8
Only rotten plays were written by him,O,1
"Passage which crosses river, ending in Idaho",THROAT,6
Sweet tune recalled by one in French,HONEY BUN,"5,3"
Trinity right within you,THREE,5
Introspection doing little to inspire government leader supporting church body,NAVEL,5
A body builder’s out-of-this-world body,ASTEROID,8
Stop being a comedian? You can't be serious!,DON,3
Cap of cerulean and gold on a crown,CORONA,6
A silencing word remains,ASH,3
People ecstatic at first about party removing a PM,MELBOURNE,9
"Ever maintaining rise during test, working on a plane, perhaps?",TREE SURGERY,"4,7"
"Shiite leader always put on a ring, I see!",AYATOLLAH,9
Nuclear accident in British base,BLOWDOWN,8
Failing to change sides,DEFECT,6
"After uprising, some mutual appreciation for island republic",PALAU,5
"Chairman, on agonising march, heads northward",MAO,3
Spin bowler’s trick presenting a problem for the author,WRITERS BLOCK,"7,5"
Parrot of old lady put with cashew when she is absent,MACAW,5
Adolescent is after food container in workplace eatery,CANTEEN,7
Rupture regularly found in noble gas particle,NEUTRON,7
Delete Times puzzle at the end,ERASE,5
Southeastern upper-class type to embark on journey,SET OFF,"3,3"
Long narrow inlets start to join in Capri and Granada?,FJORDS,6
"State “I do”, securing a husband",IDAHO,5
This country is in ruin — am I biased?,NAMIBIA,7
"Fate mostly dire, turning desperate",DO OR DIE,"2,2,3"
Suffer at home with vicious mutt,INCUR,5
Ado! Hungry dog barking in all-too-familiar situation,GROUNDHOG DAY,"9,3"
Tell on Dracula?,RECOUNT,7
Capital offences once punished here?,TOWER OF LONDON,"5,2,6"
Modern recycling centre,RECENT,6
Stuff reckless mug in Jeep for extreme sport,BUNGEE JUMPING,"6,7"
Come gallantly holding final letter,OMEGA,5
Where setters go for a holiday?,KENNELS,7
Sign depicting old fellows,OMEN,4
Part of leg found by excavation party,SHINDIG,7
Du Maurier book with short revolutionary chapters — ace!,REBECCA,7
Tangle with men he’s upset,ENMESH,6
Love attempt to follow silver galore,A GOGO,"1,4"
Crooked? Sounds like a grass,AWRY,4
Very easy task collecting river junk,DROSS,5
Cartel had demolished place of worship,CATHEDRAL,9
Greek character hiding in handsome garden,OMEGA,5
"A close friend beginning to mistrust NATO, for example",ACRONYM,7
Noblewoman starts to develop unusual board game,DUCHESS,7
"Alerts posh folk, embracing one quietly",TIPOFFS,7
Worker returning woman's aerial,ANTENNA,7
Fe-male superhero?,IRON MAN,"4,3"
Sprinted to grab magical device from African country,RWANDAN,7
Tuna swimming with small relations,AUNTS,5
Irish city's sailors producing bottle opener,CORKSCREW,9
Knock out jockey regularly — that's strange!,KOOKY,5
Robot starts to design rocket on its doorstep,DROID,5
Gloomy about group of actors,OVERCAST,8
"Climbed like an armadillo, perhaps?",SCALED,6
Triple jumping — go for it!,LET RIP,"3,3"
I was in charge of foreign land,IRAN,4
Fashioned himself a European language,FLEMISH,7
Are nitrates changing brewing equipment?,TEA STRAINER,"3,8"
Long-legged creature burning oxygen,FLAMINGO,8
Fancy putting limit on staple food,CAPRICE,7
Detectives imprisoned by lunatic who's barely seen?,NUDIST,6
"After a short time, tout punk rock hairstyle",MOHAWK,6
Finally clean a pig enclosure that's unpleasant!,NASTY,5
Farm building lacking roof is well ventilated,AIRY,4
Plants in island thus smuggled from the east,NARCISSI,8
"Like a Dane, for example — and not one in Washington",NORDIC,6
Legendary bird biting head off dangerous reptile,ROC,3
"Fine workforce, one possessed by man like Sir John?",FALSTAFFIAN,11
"Briefly poke around leg, to find protein",INTERFERON,10
"Share the Sunday joint, do we hear?",METE,4
Ragout of game containing a highly seasoned sausage,SALAMI,6
Mature combination of companies adopting western name,GROWN,5
Delay after chap encounters strong wind from east,TIME,4
"Switching sides, Chinese communist finds Lao Zi’s philosophy",TAOISM,6
Retired priest following northern river,NILE,4
Grassy area in politician’s part of constituency,GREENSWARD,10
Worried if a host is an obsessive trendy!,FASHIONISTA,11
Anger shown when state's leader is deposed,IRE,3
Current Oxford course taken in six months? That's wonderful!,YIPPEE,6
Lower rent Ray's splashed out up front?,AYRSHIRE,8
Sea nymph entangled in reed,NEREID,6
Dairy product a girl takes in bed,RICOTTA,7
Put friend in the picture in a relaxed way,INFORMALLY,10
"Serving in army club, one left out cementing tool",SOLDERING IRON,"9,4"
Tender-sounding Mercian king?,OFFA,4
"Republican in seedy bar visiting cinema, perhaps",DRIVE-IN,8
Scorn fiddle casual worker finally bought,CONTEMPT,8
Insensitively considered the French devious,THOUGHTLESSLY,13
Recipients of letter from Welshwoman cutting business deficit,COLOSSIANS,10
Insect — one flapping lamely at first in farm pen,STONEFLY,8
Effeminate chap writing about class work,MILKSOP,7
Language provoked by a limited rise in Westminster?,SWAHILI,7
"Stick a poster, possibly, in this place",ADHERE,6
Long  evergreen tree,PINE,4
Acts badly after work at keyboard getting the same parts?,TYPECAST,8
"Produced money, we hear",BRED,4
Custom from American era,USAGE,5
Personal target leading to footballer’s error,OWN GOAL,"3,4"
Coming in holding that isn’t regularly amusing,ENTERTAINING,12
"TV feature perhaps recalled in tuneful air, eastern",AERIAL,6
Warn about edges of route in overcrowded area,WARREN,6
"Unexpectedly gave a car next, spending too much",EXTRAVAGANCE,12
Advance payment showing sincerity,EARNEST,7
"Introduction of secure, healthy, source of gas",SHALE,5
Guy from Egypt he obliges,THEO,4
Find beer possibly as favour,BEFRIEND,8
"He could be tough, lacking love?",THUG,4
Shellfish that’s uncooked put into empty pan,PRAWN,5
"Sweet having me in calmer race, somehow",CREME CARAMEL,"5,7"
Unruffled sound from cow in south,SMOOTH,6
"Having climbed moor? That is right, it’s more spacious",ROOMIER,7
"Tipping hat, one overseeing man, hard-working",DILIGENT,8
Nasty stain mars a chair arm initially — protective cloth found,ANTIMACASSAR,12
MP should get back in here,SAFE SEAT,"4,4"
