clue,answer,source
Nuclear accident in British base (8),BLOWDOWN,times_xwd_times
Mischievous child cuts leg off its first unit (6),PASCAL,times_xwd_times
Tag game outside involved tariff (8),GRAFFITO,times_xwd_times
"Reveal girth, bolting frenziedly (5,2,5)",BRING TO LIGHT,times_xwd_times
"Look, lad’s not finished garden feature (6)",GAZEBO,times_xwd_times
Grant a leader in the papers a column (8),CARYATID,times_xwd_times
"Reduce something bloody, having got back in time (8)",DEROGATE,times_xwd_times
Protective coat a Parisian youth put back round tongue? (9),UNDERSEAL,times_xwd_times
"Betrayed the trust of lecturer after treat misinterpreted (6,2)",RATTED ON,times_xwd_times
Hastily mend an old paving stone (6),COBBLE,times_xwd_times
Stupid angler almost hit pipe (8),NARGHILE,times_xwd_times
Failing to cross over desert (6),DEFECT,times_xwd_times
"He could be tough, lacking love? (4)",THUG,times_xwd_times
"Batting with more confidence, one offers chance to cover (7)",INSURER,times_xwd_times
"One living abroad has European vote, very conveniently (5)",EXPAT,times_xwd_times
Burned remains after emptying secret store (5),STASH,times_xwd_times
Acts badly after work at keyboard getting the same parts? (8),TYPECAST,times_xwd_times
"Palladium, introducing old character, cut back (6)",PRUNED,times_xwd_times
"Familiarly, wheels stick and make a harsh noise (6)",JAMJAR,times_xwd_times
Fool accepting second surprising plot development (5),TWIST,times_xwd_times
Graduate severe about one current leading teacher (9),MAHARISHI,times_xwd_times
Hydrogen expands in large flexible pipe (8),NARGHILE,times_xwd_times
Completely or nearly closed account (7),TOTALLY,times_xwd_times
Crustacean in pub clean when cooked (8),BARNACLE,times_xwd_times
Pictures came in for restoration (6),CINEMA,times_xwd_times
Doctor holding delicate fabric up still (6),BECALM,times_xwd_times
Rescue dog losing tail (8),RETRIEVE,times_xwd_times
"Raven’s cry, primarily croaky and whiny (3)",CAW,times_xwd_times
"In charge, one party of Africans ringed girl (7)",FIANCEE,times_xwd_times
Lug in that case of clay (7),EARTHEN,times_xwd_times
Record single up around number four in chart (5),ENROL,times_xwd_times
Municipal head from Irish county? Right (5),MAYOR,times_xwd_times
There’s a point to this law needing reform (3),AWL,times_xwd_times
"Strange being on underground with a railway minister (7,9)",FOREIGN SECRETARY,times_xwd_times
Girl in New York who looks after children? (5),NANNY,times_xwd_times
"One might be attached to a parcel, a tiny bit of land? (7,5)",POSTAGE STAMP,times_xwd_times
One admitted to being unstable? It’s still to be settled (9),LIABILITY,times_xwd_times
Looked at team getting embarrassed after trick (10),CONSIDERED,times_xwd_times
A missing Citroen car crashed? Wrong (9),INCORRECT,times_xwd_times
Back in a short while (6),SECOND,times_xwd_times
Perhaps metal from church roof in the van (4),LEAD,times_xwd_times
"Share the Sunday joint, do we hear? (4)",METE,times_xwd_times
Present of francs given to monarch (5),OFFER,times_xwd_times
"Please understand term gent now misused when feeding dog (4,3,2,5)",DONT GET ME WRONG,times_xwd_times
Part of deck on which 45 may go for a spin (9),TURNTABLE,times_xwd_times
"Fat tummy, big concern (11)",CORPORATION,times_xwd_times
Router sends digger round Bath (10),DISPATCHER,times_xwd_times
Asian dog covering miles (5),TAMIL,times_xwd_times
Nobleman upset Liberal? That's funny (5),DROLL,times_xwd_times
Greek party with wealth not half evident (5),DORIC,times_xwd_times
"Smooth style of progress through various gears? Nonsense (3,3,7)",GAS AND GAITERS,times_xwd_times
"Charmer, bachelor in art school, that might be handy in a street fight (11)",SWITCHBLADE,times_xwd_times
Construction of poem featuring in Eliot’s first gamble (7),EDIFICE,times_xwd_times
Mike’s stuffing piece of meat to munch with gusto (5),CHOMP,times_xwd_times
Argument inspector advanced in Home Counties (7),DISPUTE,times_xwd_times
"Fully discuss party no longer in the game (6,3)",THRASH OUT,times_xwd_times
Intrepid daughter missing parent's sister (9),DAUNTLESS,times_xwd_times
"Endlessly, the guard returned bringing sort of beer (7)",DRAUGHT,times_xwd_times
"Several faiths TV represented in a religious celebration (7,8)",HARVEST FESTIVAL,times_xwd_times
"Pub riot, with cokes spilled? It's young people's entertainment (7,5)",PICTURE BOOKS,times_xwd_times
"Ascending in medieval society, one worked hard (5)",SLAVE,times_xwd_times
"Hater of Brussels sprouts to start with mushroom, having obsessed about removing cap (11)",EUROSCEPTIC,times_xwd_times
"Like some surgeons in navy, retire unhappily (10)",VETERINARY,times_xwd_times
"Praise, primarily, to give the thing acclaim? (7)",PLAUDIT,times_xwd_times
Robert has been ahead in Olympic event (7),BOBSLED,times_xwd_times
Maxim’s garden feature? (5),GNOME,times_xwd_times
Plea to dine among competitors (8),ENTREATY,times_xwd_times
Made a meal of deliveries and declared (10),OVERSTATED,times_xwd_times
"Rich, fit and not working (4-3)",WELL,times_xwd_times
Sprite seen in hotel foyer (3),ELF,times_xwd_times
Amphibian originally eaten for tea (3),EFT,times_xwd_times
